Tracking Number	Sub-Office	Submitted Date	Closed Date	Detail	Disposition	
DOJ-2017-005421	Office of the Attorney General	07/17/2017	07/26/2017	"Transcript of Attorney General Jeff Sessions' speech at
the Alliance Defending Freedom's Summit on Religious
Liberty"	Partial grant/partial denial	
DOJ-2017-005349	Office of Public Affairs	07/13/2017	07/26/2017	"Copies of executed settlement agreements between
Mallinckrodt LLC and the Department of Justice
pertaining to the settlement of allegations against
Mallinckrodt for violations of the Controlled Substances
Act."	No records	
DOJ-2017-005197	Office of Information Policy	07/10/2017	07/26/2017	"Records concerning the National Public Safety
Partnership."	Full grant	
DOJ-2016-002331	Office of the Attorney General	04/05/2016	07/26/2017	Records concerning Keepseagle v. USDA .	No records	
DOJ-2016-002827	Office of the Associate Attorney General	04/05/2016	07/26/2017	Records concerning Keepseagle v. USDA .	No records	
DOJ-2017-004933	Office of the Attorney General	06/26/2017	07/27/2017	"Records concerning the July 29, 1990 attack on St.
Peter's Lutheran Church in Liberia."	Full denial based on exemptions	
DOJ-2017-004601	Office of the Attorney General	06/12/2017	07/27/2017	"Copies of visitors logs kept for the Office of the Attorney
General."	Partial grant/partial denial	
DOJ-2015-000343	Office of the Deputy Attorney General	08/12/2015	07/28/2017	"Privacy Impact Assessments, Privacy Threshold
Analysis, and Initial Privacy Assessments regarding
devices known as International Mobile Subscriber
Identity catchers and/or cell site simulators."	Partial grant/partial denial	
DOJ-2017-005017	Office of Information Policy	06/29/2017	07/28/2017	"Listing of all Freedom of Information Act requests
received from October 1, 2012, to June 30, 2017."	Partial grant/partial denial	
DOJ-2017-004394	Office of the Associate Attorney General	05/30/2017	07/28/2017	"Records pertainng to the Regulatory Reform Task
Force."	Not an agency record	
DOJ-2015-000064	Office of the Attorney General	01/14/2015	07/28/2017	"Copy of the schedule for Attorney General Eric Holder
for Sunday, January 11th, 2015, and any emails about
the March in Paris."	Partial grant/partial denial	
DOJ-2014-000049	Office of the Deputy Attorney General	11/25/2013	07/31/2017	"Records from the electronic database of the
Departmental Executive Secretariat concerning the
Foreign Intelligence Surveillance Court."	Partial grant/partial denial	
DOJ-2017-005512	Office of Information Policy	07/21/2017	07/31/2017	"Records concerning pardons and communtations
granted and denied since January 20, 2017."	Partial grant/partial denial	
DOJ-2014-000137	Office of the Deputy Attorney General	06/18/2014	07/31/2017	"Records of former Department of Justice employee
Michael Bresnick pertaining to Operation Choke Point."	Partial grant/partial denial	
DOJ-2017-004726	Office of the Attorney General	06/15/2017	07/31/2017	"Records concerning correspondence with the White
House."	Partial grant/partial denial	
DOJ-2017-004662	Office of the Associate Attorney General	06/14/2017	07/31/2017	"Copy of the report of the Regulatory Reform Task Force
to the Attorney General as required by Executive Order
13,777."	No records	
DOJ-2017-004654	Office of the Attorney General	06/13/2017	07/31/2017	"Records concerning communications with the White
House."	No records	
				Records concerning former National Security Advisor		
DOJ-2017-002349	Office of the Deputy Attorney General	02/15/2017	07/31/2017	Michael Flynn.	Partial grant/partial denial	
				Records concerning former National Security Advisor		
DOJ-2017-002348	Office of the Attorney General	02/15/2017	07/31/2017	Michael Flynn.	Partial grant/partial denial	
DOJ-2017-001399	Office of the Associate Attorney General	12/22/2016	06/27/2017	"Records concerning former Principal Deputy Associate
Attorney General Neil Gorsuch."	Other - Litigation	
DOJ-2014-000018	Office of the Associate Attorney General	10/21/2013	06/22/2017	"All records resulting from a search of the Departmental
Executive Secretariat database involving the terms
""Section 215,"" ""domestic surveillance,"" and ""PATRIOT
ACT."""	No records	
DOJ-2015-000025	Office of the Deputy Attorney General	10/09/2014	06/15/2017	"Copy of the guidelines for access, retention, use and
dissemination by the National Counterterrorism Center
of information in datasets containing non-terrorism
information."	Partial grant/partial denial	
DOJ-2016-005682	Office of Legislative Affairs	09/29/2016	06/16/2017	"Records pertaining to non-contractual discretionary
grant awards made by the Department of Justice."	Partial grant/partial denial	
DOJ-2015-000042	Office of Public Affairs	09/16/2015	06/09/2017	Records regarding Magner v Gallagher .	Partial grant/partial denial	
DOJ-2015-000394	Office of Legislative Affairs	09/16/2015	06/09/2017	Records regarding Magner v Gallagher .	Partial grant/partial denial	
DOJ-2015-000393	Office of the Deputy Attorney General	09/16/2015	06/09/2017	Records regarding Magner v Gallagher .	Partial grant/partial denial	
DOJ-2015-000391	Office of Legislative Affairs	09/16/2015	06/09/2017	Records regarding Magner v Gallagher .	Partial grant/partial denial	
DOJ-2015-000390	Office of the Deputy Attorney General	09/16/2015	06/09/2017	Records regarding Magner v Gallagher .	Partial grant/partial denial	
DOJ-2015-000043	Office of Public Affairs	09/16/2015	06/09/2017	Records regarding Magner v Gallagher .	Partial grant/partial denial	
DOJ-2016-005536	Office of the Deputy Attorney General	09/14/2016	06/30/2017	"Records pertaining to Section 702 of the Foreign
Intelligence Surveillance Act."	Other - Litigation	
DOJ-2016-005518	Office of the Attorney General	09/14/2016	06/30/2017	"Records pertaining to Section 702 of the Foreign
Intelligence Surveillance Act."	Other - Litigation	
DOJ-2015-000313	Office of the Attorney General	07/10/2015	06/16/2017	"Records concerning former Attorney General Eric
Holder."	Partial grant/partial denial	
DOJ-2017-005010	Office of the Associate Attorney General	06/21/2017	06/30/2017	"Records concerning the kidnapping and murder of an
individual."	No records	
DOJ-2017-005009	Office of the Deputy Attorney General	06/21/2017	06/30/2017	"Records concerning the kidnapping and murder of an
individual."	No records	
DOJ-2017-004828	Office of the Attorney General	06/20/2017	06/30/2017	"Records concerning the kidnapping and murder of an
individual."	No records	
DOJ-2017-004582	Office of Information Policy	06/10/2017	06/23/2017	Records concerning the Iraq Claims Program.	All records referred to another agency	
DOJ-2017-004574	Office of Information Policy	06/09/2017	06/23/2017	"Records concerning asset forfeiture proceedings in
Arizona."	All records referred to another agency	
DOJ-2017-004966	Office of the Deputy Attorney General	06/05/2017	06/30/2017	"Memoranda issued by the Department of Justice to U.S.
Attorneys since January 1, 2017."	No records	
DOJ-2017-004457	Office of Legislative Affairs	06/02/2017	06/09/2017	"Records concerning correspondence with members of
Congress."	Full grant	
DOJ-2017-004451	Office of Information Policy	06/02/2017	06/05/2017	"Copies of ethics waiver requests from January 1, 2016,
through June 2, 2017, and records related thereto."	All records referred to another agency	
DOJ-2017-004421	Office of the Attorney General	05/31/2017	06/09/2017	"Copies of transcripts of meetings between Attorney
General Jeff Sessions and Sergey Kislyak, Ambassador
to Russia, since June 9, 2016."	No records	
DOJ-2017-004409	Office of Information Policy	05/31/2017	06/27/2017	"List of Presidential appointed positions within the
Department of Justice."	Request withdrawn	
DOJ-2017-004485	Office of the Attorney General	05/31/2017	06/12/2017	"Copy of the resignation letter for each of the U.S.
Attorneys who has resigned since January 1, 2017."	Full denial based on exemptions	
DOJ-2017-004339	Office of the Attorney General	05/25/2017	06/23/2017	"All data collected by the Attorney General pursuant to
the Designer Anabolic Steroid Control Act."	No records	
DOJ-2017-004320	Office of the Deputy Attorney General	05/24/2017	06/02/2017	"Memorandum from Deputy Assistant Attorney General
Richard Shiffrin to Associate Deputy Attorney General
Seth P. Waxman dated July 13, 1996."	All records referred to another agency	
DOJ-2017-004317	Office of Information Policy	05/24/2017	06/01/2017	"Records concerning the $4.3 billion agreement between
Cerner Corporation and the Department of Defense."	All records referred to another agency	
DOJ-2017-004251	Office of Information Policy	05/19/2017	06/02/2017	"Records regarding any regulatory notice of the
proposed settlement of the Bacchi v. MassMutual  class
action lawsuit."	All records referred to another agency	
DOJ-2017-004248	Office of Information Policy	05/19/2017	06/02/2017	"Records concerning the restraining order to the
Northwest Immigrant Rights Project."	All records referred to another agency	
DOJ-2017-004247	Office of Information Policy	05/19/2017	06/02/2017	"A list of all vacant positions in the Department of Justice
as of May 19, 2017."	All records referred to another agency	
DOJ-2017-004217	Office of Information Policy	05/19/2017	06/01/2017	"List of the documentary films and documentary
television programs that the Department of Justice has
been involved in the production of from the years since
2000."	Not an agency record	
DOJ-2017-004116	Office of Legislative Affairs	05/15/2017	06/07/2017	"Copy of the Department of Justice response to Rep.
Peter King's May 5, 2010 letter."	Full grant	
DOJ-2017-004113	Office of the Attorney General	05/15/2017	06/20/2017	"Copy of memoranda or emails distributed to the entirety
of the Civil Division."	Full grant	
DOJ-2017-004164	Office of the Deputy Attorney General	05/15/2017	06/12/2017	Records concerning countering violent extremism.	Full denial based on exemptions	
DOJ-2017-004122	Office of the Attorney General	05/12/2017	06/20/2017	"Copy of memoranda or emails distributed to the entirety
of the Antitrust Division."	Full grant	
DOJ-2017-004009	Office of the Attorney General	05/11/2017	06/02/2017	Records concerning various private corporations.	No records	
DOJ-2017-003957	Office of Legislative Affairs	05/09/2017	06/07/2017	"Correspondence between the Department of Justice
and State Represenative Geoff Diehl."	No records	
DOJ-2017-003951	Office of the Attorney General	05/05/2017	06/20/2017	"Records concerning former United States Attorney for
the Southern District of New York Preet Bharara."	Partial grant/partial denial	
DOJ-2017-003890	Office of the Deputy Attorney General	05/03/2017	06/02/2017	"Records pertaining to former Deputy Attorney General
Sally Yates."	Full grant	
DOJ-2017-003722	Office of the Attorney General	04/25/2017	06/02/2017	"Records pertaining to a former Federal Bureau of
Investigation official."	Full grant	
DOJ-2013-000056	Office of the Attorney General	04/22/2013	06/13/2017	"Records concerning federal criminal matters instituted
by the Department of Justice relating to the International
Emergency Economic Powers Act."	Partial grant/partial denial	
DOJ-2013-000058	Office of Legislative Affairs	04/22/2013	06/13/2017	"Records concerning federal criminal matters instituted
by the Department of Justice relating to the International
Emergency Economic Powers Act."	Partial grant/partial denial	
DOJ-2013-000057	Office of the Associate Attorney General	04/22/2013	06/13/2017	"Records concerning federal criminal matters instituted
by the Department of Justice relating to the International
Emergency Economic Powers Act."	Partial grant/partial denial	
DOJ-2014-000108	Office of Public Affairs	03/31/2014	06/13/2017	"Records concerning federal criminal matters instituted
by the Department of Justice relating to the International
Emergency Economic Powers Act."	Full grant	
DOJ-2012-000023	Office of the Deputy Attorney General	03/26/2012	06/26/2017	Records concerning Sen. Ted Cruz.	Partial grant/partial denial	
DOJ-2015-000195	Office of Legislative Affairs	03/20/2015	06/21/2017	Records concerning Sen. Richard Burr.	Partial grant/partial denial	
DOJ-2015-000167	Office of Legislative Affairs	03/13/2015	06/16/2017	"Correspondence with Sen. John Cornyn, Sen. Patrick
Leahy, Rep. Darrell Issa and Rep. Elijah Cummings
regarding the FOIA Improvement Act and the FOIA
Oversight and Implementation Act."	Partial grant/partial denial	
DOJ-2017-002721	Office of the Attorney General	03/04/2017	06/22/2017	"Records concerning the recusal of Attorney General
Sessions from all investigations of Russian involvement
with the 2016 election."	Full grant	
DOJ-2015-001067	Office of Public Affairs	03/04/2015	06/16/2017	"Communications between the Office of Public Affairs
and various reporters since March 1, 2014."	Partial grant/partial denial	
DOJ-2017-002253	Office of the Attorney General	02/10/2017	06/07/2017	"Any documents signed by Attorney General Jeff
Sessions since February 8th, 2017."	No records	
DOJ-2015-000119	Office of Information Policy	02/10/2015	06/01/2017	"Access to and copies of the databases containing
Freedom of Information Act requests."	Partial grant/partial denial	
DOJ-2017-004481	Office of the Associate Attorney General	02/07/2017	06/15/2017	"Records concerning former Principal Deputy Associate
Attorney General Neil Gorsuch."	Other - Records Publically Available	
DOJ-2017-001971	Office of the Deputy Attorney General	01/30/2017	06/06/2017	"Copies of all emails sent or received by former Deputy
Attorney General Sally Yates between November 8,
2016, and November 9, 2016, concerning the
presidential election."	Partial grant/partial denial	
DOJ-2017-001812	Office of the Attorney General	01/23/2017	06/07/2017	Audio recordings of Attorneys General Holder or Lynch.	Full grant	
DOJ-2017-001879	Office of Public Affairs	01/23/2017	06/07/2017	Audio recordings of Attorneys General Holder or Lynch.	Full grant	
DOJ-2017-001709	Office of Information Policy	01/18/2017	06/16/2017	"Copy of the Freedom of Information Act counselor log
for 2015 and 2016."	Partial grant/partial denial	
